Name,Website,"Project Description","Project Manager","Project Status",Resource,"Start Year","End Year","Project Connectivity","Capacity MW","Project Scale","Project Life Cycle",Devices,"Number of Devices",Waterbody,"Site Characteristics",Country
"PRIMRE/Databases/Projects Database/Projects/Sotenas Wave Power Project",https://tethys.pnnl.gov/project-sites/sotenas-project,,"Seabased AB",Inactive,Wave,2014,2018,,9,Array,Canceled,"Seabased WEC",36,"North Sea",,Sweden
"PRIMRE/Databases/Projects Database/Projects/Sound of Islay",https://tethys.pnnl.gov/project-sites/sound-islay-demonstration-tidal-array,,"ANDRITZ Hydro",Inactive,Tidal,2010,,"Not Grid Connected",10,Array,Decommissioned,HS1000,8,Malin,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/St Davids Head",https://www.bbc.com/news/uk-wales-south-west-wales-35087510,,"Tidal Energy Ltd",Active,Tidal,2002,,,10,"Single Device",Planned,"Delta Stream",1,"Irish Sea",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Swansea Bay Tidal Lagoon",https://www.newcivilengineer.com/latest/1-3bn-swansea-bay-tidal-lagoon-officially-sunk-as-developer-loses-planning-appeal-07-12-2022/,,"Tidal Lagoon Power",Inactive,Tidal,2015,,"Grid Connected",320,Array,Canceled,,20,"Bristol Channel",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Söderfors Project",https://elektroteknik.uu.se/research/electricity/research-areas/marine-currents,,"Uppsala University",Active,Riverine,2013,,"Grid Connected",0.0075,"Single Device",Operational,,1,"River Dal, Sweden",River,Sweden
"PRIMRE/Databases/Projects Database/Projects/TIGER",https://www.hydroquest.fr/en/tiger-en/,,"Hydroquest SAS,Minesto AB,Orbital Marine Power,Electricite de France,ORE Catapult,Seeneoh,QED Naval Limited,Cambrian Offshore,Bretagne Development Innovation,Morbihan Energies,SIMEC Atlantis Energy",Active,Tidal,Planned,,,8,Array,Planned,,,,,France
"PRIMRE/Databases/Projects Database/Projects/Tasmania Turbine Demo Project",https://www.offshore-energy.biz/mako-tidal-turbine-tackles-tasmanian-tides/,,"MAKO Tidal Turbines Pty Ltd MTT",Inactive,Tidal,2016,2017,"Not Grid Connected",1,"Single Device",Completed,"MAKO Tidal Turbine",1,"Tamar River Estuary, Tasmania",,Australia
"PRIMRE/Databases/Projects Database/Projects/The Bahamas",https://otecorporation.com/download/ocean-thermal-energy-conversion-for-the-bahamas/,,"Ocean Thermal Energy Corporation",Active,"Thermal Gradient",Planned,,"Grid Connected",10,"Single Device",Planned,,,,,Bahamas
"PRIMRE/Databases/Projects Database/Projects/Tidal Sails Kvalsund Strait",https://marineenergy.biz/2018/11/12/tidal-sails-boosts-full-scale-demonstration-volume/,,"Tidal Sails AS",Inactive,Tidal,2017,2020,,6,"Single Device",Completed,TackReach,1,"Kvalsund Strait, Norway",,Norway
"PRIMRE/Databases/Projects Database/Projects/TigerRay",https://cpower.co/first-c-power-ocean-eneregy-system-in-action/,,"University of Washington",Active,Wave,2022,,"Not Grid Connected",0.002,"Single Device",Planned,"C-Power SeaRAY",1,"Sequim Bay, Washington, United States","Enclosed Bay","United States"
"PRIMRE/Databases/Projects Database/Projects/Torr Head",https://tethys.pnnl.gov/project-sites/torr-head-project,,"Tidal Ventures Limited TVL",Inactive,Tidal,2012,2018,"Grid Connected",100,Array,Completed,,100,Malin,,Ireland
"PRIMRE/Databases/Projects Database/Projects/Tveter Power PLOCAN Test",https://www.plocan.net/index.php/en/2018/march/1923-ttbe-en,,"Tveter Power",Active,"Salinity Gradient",2018,,"Not Grid Connected",0.08,"Single Device",Planned,"WEC Pumping Device",1,"Canary Islands PLOCAN Test Site",,Spain
"PRIMRE/Databases/Projects Database/Projects/US Territories in the Pacific Rim",https://otecorporation.com/otec/,,"Ocean Thermal Energy Corporation",Active,"Thermal Gradient",Planned,,"Grid Connected",,"Single Device",Planned,,1,,,"United States"
"PRIMRE/Databases/Projects Database/Projects/US Virgin Islands",https://www.accesswire.com/505344/Ocean-Thermal-Energy-Corporation-EcoVillage-Team-Headed-to-US-Virgin-Islands,,"Ocean Thermal Energy Corporation",Inactive,"Thermal Gradient",Canceled,,"Grid Connected",0,"Single Device",Canceled,,1,,,"United States"
"PRIMRE/Databases/Projects Database/Projects/Vader Piet",https://www.prnewswire.com/news-releases/hydrostor-announces-partnership-for-underwater-energy-storage-in-aruba-228957251.html,,Hydrostor,Inactive,Tidal,2013,,,1,"Single Device",Completed,,1,"Caribbean Sea",,Aruba
"PRIMRE/Databases/Projects Database/Projects/Vestmanna DG100 Tidal Kite System",https://minesto.com/projects/faroe-islands,,"Minesto AB",Active,Tidal,2018,,"Grid Connected",0.1,Array,Operational,"Deep Green Tidal Kite",,"Vestmanna,  Faroe Islands","Constricted Channel",Denmark
"PRIMRE/Databases/Projects Database/Projects/Vestmanna Tidal Power Plant",https://minesto.com/faroe-islands/,,"Minesto AB",Active,Tidal,2022,,"Grid Connected",1.4,Array,Operational,"Minesto Dragon 4,Minesto Dragon 12",3,"Vestmanna, Faroe Islands","Constricted Channel",Denmark
"PRIMRE/Databases/Projects Database/Projects/WEDUSEA",https://www.iee.fraunhofer.de/en/research_projects/search/2022/WEDUSEA.html,,"Fraunhofer Institute for Energy Economics and Energy System Technology,Innosea,Hydro Group PLC,OceanEnergy,European Marine Energy Centre Ltd",Active,Wave,2022,2026,"Grid Connected",1,"Single Device",Planned,"OE Buoy WEC",1,"Orkney, Scotland",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/WSE King Island Project",https://www.waveswell.com/king-island-project-2/,,"Wave Swell Energy Ltd",Inactive,Wave,2021,2023,"Grid Connected",0.2,"Single Device",Decommissioned,"WSE UniWave200",1,"King Island harbour, Tasmania","Enclosed Bay",Australia
"PRIMRE/Databases/Projects Database/Projects/Water2Energy Zeeland Pilot",https://www.energisingcoasts.eu/water2energy,,Water2Energy,Inactive,Tidal,2021,2022,"Grid Connected",0.1,"Single Device",Completed,"Water2Energy VAWT",1,"Port of Flushing","Constricted Channel",Netherlands
"PRIMRE/Databases/Projects Database/Projects/Wave Hub CETO 6 Phase 1",https://www.offshore-energy.biz/carnegie-to-depoly-ceto-6-technology-at-wave-hub-uk/,,"Carnegie Clean Energy",Inactive,Wave,Canceled,,"Not Grid Connected",1,"Single Device",Canceled,"CETO 6",1,"Celtic Sea","Open Ocean","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Wave Hub CETO 6 Phase 2",https://www.offshore-energy.biz/carnegie-to-introduce-ceto-6-in-albany-instead-of-wave-hub/,,"Carnegie Clean Energy",Inactive,Wave,Canceled,,,15,Array,Canceled,"CETO 6",15,"Celtic Sea","Open Ocean","United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Wave Hub GWave",,,Gwave,,Wave,Canceled,,,9,,,"Power Generation Vessel",1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Wave Hub North Cornwall Demonstration Zone",https://www.energyglobal.com/wind/06082021/hexicon-acquires-wave-hub-ltd/,,"Wave Hub Limited",Inactive,Wave,2010,2021,"Grid Connected",48,Array,Canceled,,4,"Celtic Sea, England",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Wave Hub Seatricity Phase 1",https://www.offshorewind.biz/2014/06/20/seatricity-to-deploy-its-device-at-wave-hub/,,"Seatricity Ltd",Inactive,Wave,2016,2017,"Grid Connected",0.16,"Single Device",Completed,"Seatricity Oceanus 2",1,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Wave Hub Seatricity Phase 2",https://www.offshorewind.biz/2014/06/20/seatricity-to-deploy-its-device-at-wave-hub/,,"Seatricity Ltd",Inactive,Wave,Canceled,,"Grid Connected",9.74,Array,Canceled,"Oceanus 2",5,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Wave Hub South Pembrokeshire Demonstration Zone",https://www.offshore-energy.biz/celtic-sea-power-seeking-environmental-review-for-pembrokeshire-demonstration-zone/,,"Wave Hub Limited",Active,Wave,Planned,,"Grid Connected",0,"Single Device",Planned,"CETO 6",1,"Celtic Sea, England",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/WaveNET Series 12",https://www.waveenergyscotland.co.uk/programmes/details/novel-wave-energy-converter/wavenet-series-12/,,"Albatern Ltd,Wave Energy Scotland,European Marine Energy Centre Ltd",Inactive,Wave,2016,,,0.075,Array,Completed,"Albatern SQUID 6",6,,,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/West Islay Tidal Energy Farm",https://www.power-technology.com/projects/west-islay-tidal-farm-scotland/,,"DP Energy",Active,Tidal,2011,,,30,Array,Planned,"Seagen S",30,"Off the west coast of island of Islay, Scotland",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/West Somerset Tidal Lagoon",https://tidalengineering.co.uk/west-somerset-lagoon/location-and-scheme-description/,,"Halcyon Tidal Power LLC",Active,Tidal,2021,,,3000,Array,Planned,,960,"Bristol Channel",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Westray South",https://www.rechargenews.com/offshore-wind/dp-acquires-westray-south-tidal/1-1-865993,,"DP Energy",Active,Tidal,2014,,"Grid Connected",200,Array,Planned,HS1500,,"Atlantic Ocean",,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Wyre Estuary Tidal Barrage",https://www.visitfleetwood.info/about/seafront/river-wyre-wyre-tidal-barrage/,,"SIMEC Atlantis Energy",Active,"Tidal,Riverine",2017,,"Grid Connected",160,Array,Planned,AR1500,8,"Atlantic Ocean",River,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Wyre Tidal Gateway",http://www.naturalenergywyre.org/index.php/the-tidal-gateway,,"Natural Energy Wyre Ltd",Active,Tidal,Canceled,,,160,Array,Operational,,,"Lancashire coast",Coastal,"United Kingdom"
"PRIMRE/Databases/Projects Database/Projects/Yongsoo OWC Pilot Plant",https://www.wavec.org/contents/files/15--keyyong-hong-.pdf,,"Korea Research Institute of Ships and Ocean Engineering",Active,Wave,2017,2027,"Grid Connected",0.5,Sub-scale,Operational,"Yongsoo OWC",2,"Yellow Sea",Coastal,"South Korea"
"PRIMRE/Databases/Projects Database/Projects/Zambales Energy Island",http://www.energyisland.com/projects/philippines.html,,"Energy Island Ltd",Active,"Thermal Gradient",Planned,,"Grid Connected",10,"Single Device",Planned,"Energy Island OTEC",1,"Cabangan, Zambales, Luzon, Philippines (substation Botolan)",Coastal,Philippines
