Name,Type,Sector,Country,"Year Founded","Number of Employees",Website,"Phone Number"
"Waterotor Energy Technologies","Technology Developer","Hydrogen,Marine Energy",Canada,2011,11-50,http://waterotor.com/,"(613) 747-2460"
"WavEC Offshore Renewables","Project Manager,Technology Developer","Renewable Energy,Marine Energy",Portugal,2003,11-50,https://www.wavec.org/en,"+351 21 848 2655"
WavElectric,"Technology Developer","Marine Energy,Renewable Energy","United States",2011,2-10,,
"Wave Dragon ApS","Energy Generation Organizations,Technology Developer","Marine Energy,Renewable Energy",Denmark,2003,,http://www.wavedragon.net/,"+ 45 3536 0219"
"Wave Electricity Renewable Power Ocean WERPO","Technology Developer","Renewable Energy,Marine Energy",Israel,2014,2-10,,"(858) 381-4677"
"Wave Energy Corporation of America",,"Marine Energy,Renewable Energy",,,2-10,,301.365.0250
"Wave Energy Scotland","Project Manager,Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2014,13,https://www.waveenergyscotland.co.uk/,
"Wave Energy Technologies Inc","Technology Developer","Marine Energy,Renewable Energy",Canada,,,,
"Wave Hub Limited","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2016,,https://www.energyglobal.com/wind/06082021/hexicon-acquires-wave-hub-ltd/,"00 44 (0)1736 800290"
"Wave Motion Systems LLC",,"Marine Energy,Renewable Energy",,2011,2-10,,"(908) 687-9094"
"Wave Rider Energy Pty Ltd","Technology Developer","Renewable Energy,Marine Energy",Australia,2007,,http://www.waveriderenergy.com.au/index.html,"+61 8 7071 7070"
"Wave Swell Energy Ltd","Technology Developer","Marine Energy,Renewable Energy",Australia,2016,2-10,https://www.waveswell.com/,
"Wave Water Works","Technology Developer","Marine Energy,Renewable Energy","United States",,11-50,http://wavewaterworks.com/,248.231.5205
"Wave for Energy s.r.l","Technology Developer","Marine Energy,Renewable Energy,Wind energy",Italy,2010,2-10,https://www.waveforenergy.com/,
Wave-Tricity,"Technology Developer","Marine Energy,Renewable Energy","United Kingdom",2014,2-10,https://tracxn.com/d/companies/wave-tricity.com,"01646 629204"
"WaveConnect PGE","Energy Generation Organizations,Technology Developer","Marine Energy,Renewable Energy","United States",1905,"10,001+",https://www.pge.com/en_US/about-pge/environment/what-we-are-doing/waveconnect/waveconnect.page,1-877-743-6436
"WaveForce Energy","Technology Developer","Marine Energy,Renewable Energy",Ireland,2011,,https://marine-ireland.ie/node/233,"+353 868 376376"
"WavePlane Production","Technology Developer","Marine Energy,Renewable Energy",Denmark,,,http://www.waveplane.com,"+45 2162 2347"
"Waveberg Development Ltd","Energy Generation Organizations","Marine Energy,Renewable Energy","United States",,2-10,,
"Waveco AS","Technology Developer","Marine Energy,Renewable Energy",Norway,2015,,https://waveco.net/,"916 216 645"
"Wavegen Limited","Technology Developer","Marine Energy,Renewable Energy","United Kingdom",1990,,https://tethys-engineering.pnnl.gov/organizations/wavegen-ltd,
"Wavemill Energy Corp",,"Marine Energy,Renewable Energy",Canada,1996,2-10,,204-687-7823
"Wavenergyit srl","Energy Generation Organizations,Technology Developer","Marine Energy,Renewable Energy",Italy,2005,,http://www.wavenergy.it/,"+39 349.7074760"
"Wavepiston ApS","Technology Developer","Marine Energy,Renewable Energy",Denmark,2006,2-10,http://www.wavepiston.dk/,"+45 40 99 40 40"
"Waves Ruiz","Technology Developer","Marine Energy,Renewable Energy",France,2010,,https://tracxn.com/d/companies/wavesruiz.com,"+33 2 32 79 32 86"
Waves4Power,"Energy Generation Organizations","Marine Energy,Renewable Energy",Sweden,2009,,https://www.waves4power.com/,"+46 31 757 04 01"
"Wavestar Energy AS","Project Manager,Technology Developer","Marine Energy,Renewable Energy",Denmark,,,http://wavestarenergy.com/,"+45 4040 4696"
"Wavetube AB",,"Marine Energy,Renewable Energy",Sweden,2012,2-10,,
"Wedge Global SL","Project Manager,Technology Developer","Marine Energy,Renewable Energy",Spain,2008,20,https://www.wedgeglobal.com/,
"Wello Oy","Technology Developer","Marine Energy,Renewable Energy",Finland,2008,11-50,https://wello.eu/,"+358 9 888 4881"
Weptos,"Technology Developer","Marine Energy,Renewable Energy",Denmark,1991,,http://www.weptos.com/,"+457 026 0140"
"Yourbrook Energy Systems Ltd","Technology Developer","Marine Energy,Renewable Energy",Canada,2010,,https://www.yourbrookenergy.com/,"+1 (250) 637-1279"
"Zhejiang University","Academic Institutions","Marine Energy,Renewable Energy",China,1897,,https://www.zju.edu.cn/english/,"+86 571 8820 6236"
